player,year,overall_pick,games,points,total_rebounds,assists,successScore
Sasha Goodlett,2012,11,101.0,2.7,1.9,0.2,0.16505431305348967
Damiris Dantas,2012,12,202.0,7.7,4.3,1.6,0.4039473936340817
Farhiya Abdi,2012,13,52.0,2.9,1.0,0.4,0.1343632505444518
Tiffany Hayes,2012,14,277.0,13.8,3.3,2.4,0.5323589604416112
Khadijah Rushdan,2012,15,0.0,0.0,0.0,0.0,0.0
Tyra White,2012,16,0.0,0.0,0.0,0.0,0.0
Riquna Williams,2012,17,253.0,10.5,2.2,1.5,0.40553783704406215
Julie Wojta,2012,18,4.0,1.5,2.0,0.3,0.10813979904339213
Kayla Standish,2012,19,0.0,0.0,0.0,0.0,0.0
Nika Baric,2012,20,0.0,0.0,0.0,0.0,0.0
Chay Shegog,2012,21,3.0,1.0,0.7,0.0,0.04246348007552419
Keisha Hampton,2012,22,46.0,3.0,0.5,0.3,0.10621226901319461
Shey Peddy,2012,23,98.0,6.1,2.5,2.4,0.3271493929616329
C'eira Ricketts,2012,24,0.0,0.0,0.0,0.0,0.0
Vicki Baugh,2012,25,78.0,4.0,3.5,0.4,0.21959583627475904
Anjale Barrett,2012,26,0.0,0.0,0.0,0.0,0.0
Sydney Carter,2012,27,65.0,2.9,1.0,1.3,0.18629164710069296
April Sykes,2012,28,30.0,3.1,1.1,0.6,0.13108522062398356
Lynetta Kizer,2012,29,180.0,5.8,2.8,0.3,0.25979717390827395
Christine Flores,2012,30,0.0,0.0,0.0,0.0,0.0
Jacki Gemelos,2012,31,35.0,1.9,0.8,0.6,0.11601698722906542
Isabelle Yacoubou,2012,32,0.0,0.0,0.0,0.0,0.0
Amanda Johnson,2012,33,0.0,0.0,0.0,0.0,0.0
Courtney Hurt,2012,34,0.0,0.0,0.0,0.0,0.0
Briana Gilbreath-Butler,2012,35,54.0,4.2,2.9,1.1,0.26779078201885936
Katelan Redmon,2012,36,7.0,1.0,1.1,0.3,0.07838803109980406
Maya Moore,2011,1,271.0,18.4,5.9,3.3,0.6749643166418907
Liz Cambage,2011,2,167.0,15.8,7.5,1.6,0.5560076791415074
Courtney Vandersloot,2011,3,359.0,10.2,3.2,6.6,0.6527042286655296
Amber Harris,2011,4,112.0,2.7,1.8,0.5,0.16552286949669157
Jantel Lavender,2011,5,342.0,8.1,4.6,1.0,0.4377647155634407
Danielle Robinson,2011,6,327.0,9.1,2.8,4.2,0.5395671296804159
Kayla Pedersen,2011,7,184.0,3.4,3.0,1.1,0.28314628723396346
Ta'Shia Phillips,2011,8,15.0,1.5,1.3,0.1,0.07717736024333034
Jeanette Pohlen-Mavunga,2011,9,148.0,3.4,1.2,0.8,0.21049766926003777
Alex Montgomery,2011,10,216.0,4.2,3.4,1.2,0.3155615872323471
Victoria Dunlap,2011,11,31.0,2.3,1.7,0.4,0.12627435345326915
Jasmine Thomas,2011,12,358.0,9.6,2.8,3.7,0.5371495336952953
Jessica Breland,2011,13,269.0,7.1,5.9,1.4,0.44773196702456647
Felicia Chester,2011,14,4.0,0.5,2.0,0.0,0.0863148288233111
Carolyn Swords,2011,15,250.0,3.7,3.3,0.5,0.2772046619592793
Sydney Colson,2011,16,182.0,3.1,0.9,1.9,0.23725512450289213
Angie Bjorklund,2011,17,7.0,1.1,0.3,0.3,0.06362309103851671
Rachel Jarry,2011,18,27.0,1.7,0.7,0.4,0.09165912328090604
Brittany Spears,2011,19,0.0,0.0,0.0,0.0,0.0
Danielle Adams,2011,20,174.0,10.5,3.9,0.8,0.37736899217059916
Italee Lucas,2011,21,0.0,0.0,0.0,0.0,0.0
Angel Robinson,2011,22,0.0,0.0,0.0,0.0,0.0
Karima Christmas-Kelly,2011,23,243.0,7.9,3.7,1.3,0.40851823186159725
Ify Ibekwe,2011,24,9.0,0.7,0.9,0.0,0.04796388872551902
Chastity Reed,2011,25,11.0,3.5,1.9,0.7,0.17434418512781966
Kachine Alexander,2011,26,0.0,0.0,0.0,0.0,0.0
Amy Jaeschke,2011,27,0.0,0.0,0.0,0.0,0.0
Adrienne Johnson,2011,28,0.0,0.0,0.0,0.0,0.0
Elina Babkina,2011,29,0.0,0.0,0.0,0.0,0.0
Porsha Phillips,2011,30,31.0,1.8,1.9,0.3,0.12412868132988517
Tahnee Robinson,2011,31,0.0,0.0,0.0,0.0,0.0
Kelsey Bolte,2011,32,0.0,0.0,0.0,0.0,0.0
Jori Davis,2011,33,0.0,0.0,0.0,0.0,0.0
Mekia Valentine,2011,34,0.0,0.0,0.0,0.0,0.0
Sarah Krnjic,2011,35,0.0,0.0,0.0,0.0,0.0
Krystal Thomas,2011,36,176.0,3.6,4.9,0.5,0.3046809085445675
Tina Charles,2010,1,391.0,18.2,9.3,2.2,0.756191294166479
Monica Wright,2010,2,177.0,7.3,2.2,1.6,0.3329667147680805
Kelsey Griffin,2010,3,164.0,4.9,4.2,0.8,0.318530693858131
Epiphanny Prince,2010,4,305.0,11.0,2.3,2.6,0.47299103157836003
Jayne Appel-Marinelli,2010,5,219.0,4.0,6.1,1.5,0.4018733315916775
Jacinta Monroe,2010,6,21.0,1.7,1.0,0.2,0.08849926293048907
Danielle McCray,2010,7,80.0,4.6,2.0,1.1,0.22717133758004843
Andrea Riley,2010,8,73.0,4.4,0.9,1.4,0.20424171074119254
Chanel Mokango,2010,9,21.0,0.4,0.6,0.0,0.04302370575577941
Alison Lacey,2010,10,21.0,0.8,0.8,0.5,0.08637065092268738
Jene Morris,2010,11,34.0,2.6,0.7,0.4,0.11100907572337562
Bianca Thomas,2010,12,0.0,0.0,0.0,0.0,0.0
Kalana Greene,2010,13,167.0,4.3,2.5,1.2,0.2945393943941665
Jenna Smith,2010,14,0.0,0.0,0.0,0.0,0.0
Allison Hightower,2010,15,125.0,6.1,1.8,1.6,0.2996607058893227
Ashley Houts,2010,16,20.0,0.9,0.7,0.5,0.07690106441969703
Alysha Clark,2010,17,302.0,7.0,3.5,1.5,0.42370414440969945
Shanavia Dowdell,2010,18,0.0,0.0,0.0,0.0,0.0
Amanda Thompson,2010,19,28.0,1.7,2.0,0.5,0.12848129265528224
Angel Robinson,2010,20,64.0,2.6,2.6,0.4,0.17165679103527798
Brigitte Ardossi,2010,21,0.0,0.0,0.0,0.0,0.0
Tanisha Smith,2010,22,0.0,0.0,0.0,0.0,0.0
Armelie Lumanu,2010,23,0.0,0.0,0.0,0.0,0.0
Tyra Grant,2010,24,0.0,0.0,0.0,0.0,0.0
Cory Montgomery,2010,25,0.0,0.0,0.0,0.0,0.0
Gabriela Marginean,2010,26,4.0,0.5,1.0,0.3,0.05309555735784779
Johannah Leedham,2010,27,0.0,0.0,0.0,0.0,0.0
Abi Olajuwon,2010,28,22.0,1.0,0.7,0.1,0.06876020465009831
Alexis Rack,2010,29,0.0,0.0,0.0,0.0,0.0
Alexis Gray-Lawson,2010,30,46.0,4.1,1.3,1.3,0.2005668764212794
Vivian Frieson,2010,31,0.0,0.0,0.0,0.0,0.0
Rashidat Junaid,2010,32,0.0,0.0,0.0,0.0,0.0
Brittainey Raven,2010,33,23.0,1.5,0.9,0.4,0.08432183797425631
Tijana Krivacevic,2010,34,0.0,0.0,0.0,0.0,0.0
Joy Cheek,2010,35,10.0,1.8,0.6,0.1,0.0652759108033735
Nyeshia Stevenson,2010,36,0.0,0.0,0.0,0.0,0.0
Angel McCoughtry,2009,1,311.0,18.6,5.0,2.9,0.6417955003453505
Marissa Coleman,2009,2,319.0,6.7,3.1,1.3,0.3997065617100824
Kristi Toliver,2009,3,369.0,12.0,2.2,3.5,0.5543516175859555
Renee Montgomery,2009,4,364.0,9.7,1.7,3.1,0.48574007008782205
DeWanna Bonner,2009,5,422.0,14.7,6.2,2.3,0.6612121789805241
Briann January,2009,6,393.0,7.8,1.7,3.4,0.4987918826298463
Courtney Paris,2009,7,297.0,4.7,5.4,0.7,0.3712016970881836
Kia Vaughn,2009,8,386.0,5.9,4.2,0.8,0.40781647912523394
Quanitra Hollingsworth,2009,9,124.0,3.6,3.2,0.2,0.21991033237665167
Chante Black,2009,10,97.0,3.8,4.2,0.4,0.2586357420114748
Shavonte Zellous,2009,11,363.0,8.5,2.7,1.9,0.447818838411391
Ashley Walker,2009,12,25.0,1.5,1.7,0.4,0.11055992577620606
Lindsay Wisdom-Hylton,2009,13,124.0,3.2,2.4,0.6,0.207153176177466
Megan Frazee,2009,14,39.0,4.7,2.7,0.4,0.18980115501161482
Rashanda McCants,2009,15,57.0,4.8,2.1,0.9,0.22353101434985562
Danielle Gant,2009,16,0.0,0.0,0.0,0.0,0.0
Lyndra Littles,2009,17,0.0,0.0,0.0,0.0,0.0
Britany Miller,2009,18,1.0,0.0,0.0,0.0,0.04645433767266223
Christina Wirth,2009,19,21.0,1.0,0.7,0.6,0.08299052333932588
Whitney Boddie,2009,20,4.0,0.5,0.0,0.0,0.01956190286906773
Abby Waner,2009,21,0.0,0.0,0.0,0.0,0.0
Ashley Paris,2009,22,0.0,0.0,0.0,0.0,0.0
Camille LeNoir,2009,23,0.0,0.0,0.0,0.0,0.0
Jelena Milovanovic,2009,24,16.0,4.4,1.5,0.6,0.16279074115078712
Shalee Lehning,2009,25,85.0,3.1,2.3,3.8,0.337216282626626
Sonja Petrovic,2009,26,61.0,5.0,2.2,0.8,0.22589128134066452
Jessica Morrow,2009,27,0.0,0.0,0.0,0.0,0.0
Josephine Owino,2009,28,0.0,0.0,0.0,0.0,0.0
Jennifer Risper,2009,29,0.0,0.0,0.0,0.0,0.0
Emily Fox,2009,30,0.0,0.0,0.0,0.0,0.0
Sha Brooks,2009,31,0.0,0.0,0.0,0.0,0.0
Danielle Campbell,2009,32,0.0,0.0,0.0,0.0,0.0
Morgan Warburton,2009,33,0.0,0.0,0.0,0.0,0.0
Jessica Adair,2009,34,51.0,3.6,2.7,0.3,0.1743076558313423
Britney Jordan,2009,35,0.0,0.0,0.0,0.0,0.0
Alba Torrens,2009,36,0.0,0.0,0.0,0.0,0.0
Tanae Davis-Cain,2009,37,1.0,2.0,2.0,0.0,0.08392034265758375
Mara Freshour,2009,38,0.0,0.0,0.0,0.0,0.0
Candyce Bingham,2009,39,0.0,0.0,0.0,0.0,0.0
Candace Parker,2008,1,392.0,16.4,8.6,4.0,0.7704163387234326
Sylvia Fowles,2008,2,408.0,15.7,9.8,1.1,0.702766192037781
Candice Wiggins,2008,3,221.0,8.6,2.4,1.9,0.3960215693696195
Alexis Hornbuckle,2008,4,187.0,4.6,3.2,1.8,0.3391646191147902
Matee Ajavon,2008,5,323.0,6.9,1.8,1.8,0.37092793877237595
Crystal Langhorne,2008,6,406.0,10.9,6.0,1.1,0.551298276639484
Essence Carson,2008,7,367.0,7.2,2.3,1.2,0.3966402406951235
Tamera Young,2008,8,372.0,7.1,3.9,1.5,0.45007413591221307
Amber Holt,2008,9,140.0,6.9,2.9,1.8,0.3498700118750941
Laura Harper,2008,10,67.0,5.0,3.7,0.5,0.25063432041711736
Tasha Humphrey,2008,11,58.0,7.2,3.2,0.7,0.26852048667298306
Ketia Swanier,2008,12,153.0,2.5,1.4,1.7,0.22375816339743598
LaToya Sanders,2008,13,155.0,5.7,4.5,1.0,0.3331865985171588
Erlana Larkins,2008,14,247.0,5.9,5.4,1.5,0.41826747704673906
Shannon Bobbitt,2008,15,118.0,3.2,1.4,2.2,0.2533338065425912
Nicky Anosike,2008,16,139.0,8.9,6.6,1.7,0.47629165140259533
Erica White,2008,17,36.0,3.4,1.4,1.4,0.18780037280285716
Olayinka Sanni,2008,18,76.0,3.3,1.7,0.3,0.1555299350640132
Quianna Chaney,2008,19,28.0,2.4,1.0,0.9,0.1305491064918103
Lindsey Pluimer,2008,20,0.0,0.0,0.0,0.0,0.0
Chioma Nnamaka,2008,21,12.0,1.3,1.0,0.2,0.08376040345944236
Allie Quigley,2008,22,347.0,10.9,2.0,2.0,0.45757335035411717
Jolene Anderson,2008,23,24.0,4.0,2.4,1.1,0.21818209227445323
Morenike Atunrase,2008,24,33.0,2.2,1.5,0.7,0.14539728529067125
Leilani Mitchell,2008,25,398.0,6.6,2.1,3.0,0.46398613410836403
Khadijah Whittington,2008,26,25.0,2.2,1.6,0.3,0.12045452240864003
Wanisha Smith,2008,27,1.0,0.0,0.0,0.0,0.0003448275862068965
Natasha Lacy,2008,28,79.0,4.4,2.1,1.8,0.24637989755449757
Sharnee Zoll,2008,29,25.0,1.1,0.7,1.4,0.12573580813171392
Charde Houston,2008,30,206.0,8.7,3.3,1.2,0.36593484793481956
Crystal Kelly,2008,31,93.0,4.8,2.1,0.4,0.20638407039977152
Danielle Hood,2008,32,0.0,0.0,0.0,0.0,0.0
Angela Tisdale,2008,33,0.0,0.0,0.0,0.0,0.0
Krystal Vaughn,2008,34,15.0,0.8,1.0,0.0,0.06343353201362031
Alberta Auguste,2008,35,0.0,0.0,0.0,0.0,0.0
Kimberly Beck,2008,36,17.0,1.0,0.7,0.4,0.07382150030565016
Lauren Ervin,2008,37,8.0,2.0,1.6,0.0,0.09546193673733032
A'Quonesia Franklin,2008,38,36.0,1.5,1.3,1.7,0.1646038762229617
Alex Anderson,2008,39,0.0,0.0,0.0,0.0,0.0
Izabela Piekarska,2008,40,0.0,0.0,0.0,0.0,0.0
Marscilla Packer,2008,41,0.0,0.0,0.0,0.0,0.0
Val Berezhynska,2008,42,2.0,0.0,0.0,0.0,0.017980721454834543
Charel Allen,2008,43,6.0,2.7,1.0,0.5,0.11149187699435423
Lindsey Harding,2007,1,270.0,9.8,2.9,4.0,0.5354688345304606
Jessica Davenport,2007,2,174.0,6.6,3.1,0.4,0.2805264225607491
Armintie Herrington,2007,3,290.0,5.9,3.3,2.0,0.4100003865566535
Noelle Quinn,2007,4,382.0,4.8,2.6,2.3,0.4176231166041077
Tiffany Jackson-Jones,2007,5,225.0,6.2,4.5,0.9,0.36325491702828766
Bernice Mosby,2007,6,76.0,2.3,2.2,0.2,0.14766417703286855
Katie Gearlds,2007,7,87.0,4.4,1.4,0.6,0.1961836920904793
Ashley Shields,2007,8,36.0,4.5,1.0,0.6,0.15297563752809987
Alison Bales,2007,9,116.0,4.1,3.9,0.7,0.27572254229399923
Carla Thomas,2007,10,17.0,2.5,1.6,0.2,0.11070483720034408
Ivory Latta,2007,11,323.0,10.7,1.7,2.7,0.4727913569373798
Kamesha Hairston,2007,12,17.0,1.9,1.8,0.4,0.12358127900596064
Sandrine Gruda,2007,13,133.0,7.6,3.8,0.9,0.3293090616315727
Dee Davis,2007,14,3.0,2.0,0.0,0.0,0.057050155449241205
Shay Murphy,2007,15,225.0,4.7,2.4,0.7,0.2667058170507866
Shay Doron,2007,16,7.0,1.4,0.4,0.0,0.053188605661881175
Camille Little,2007,17,431.0,8.2,4.2,1.4,0.5004868764016136
Tyresa Smith,2007,18,1.0,1.0,2.0,0.0,0.09135919219123603
Megan Vogel,2007,19,0.0,0.0,0.0,0.0,0.0
Stephanie Raymond,2007,20,20.0,3.1,0.7,1.4,0.14602157920253916
Jessica Dickson,2007,21,0.0,0.0,0.0,0.0,0.0
Lyndsey Medders,2007,22,0.0,0.0,0.0,0.0,0.0
Brooke Smith,2007,23,47.0,2.2,2.1,0.3,0.13997391756608688
Kathrin Ress,2007,24,28.0,3.0,2.5,0.6,0.17988378963918775
Sidney Spencer,2007,25,144.0,4.9,1.9,0.6,0.23327453001563248
Cori Chambers,2007,26,1.0,0.0,0.0,0.0,0.006108516347013813
Jenna Rubino,2007,27,0.0,0.0,0.0,0.0,0.0
Leah Rush,2007,28,2.0,1.5,0.0,0.0,0.05005011286040799
Martina Weber,2007,29,2.0,0.0,0.5,0.0,0.022421114326680685
Nare Diawara,2007,30,0.0,0.0,0.0,0.0,0.0
Chrissy Givens,2007,31,3.0,0.7,0.0,0.7,0.048163328605542656
Gillian Goring,2007,32,21.0,2.6,2.0,0.1,0.1193550692480293
Brandie Hoskins,2007,33,0.0,0.0,0.0,0.0,0.0
Kristen Newlin,2007,34,0.0,0.0,0.0,0.0,0.0
Ashley Key,2007,35,0.0,0.0,0.0,0.0,0.0
Meg Bulger,2007,36,0.0,0.0,0.0,0.0,0.0
Emily Westerberg,2007,37,0.0,0.0,0.0,0.0,0.0
Amanda Brown,2007,38,0.0,0.0,0.0,0.0,0.0
Kiera Hardy,2007,39,0.0,0.0,0.0,0.0,0.0
Seimone Augustus,2006,1,391.0,15.4,3.1,2.3,0.5855082362685888
Cappie Pondexter,2006,2,416.0,16.4,3.7,3.8,0.672631594731792
Monique Currie,2006,3,411.0,10.3,4.1,1.8,0.5180203180076833
Sophia Young-Malcolm,2006,4,301.0,14.3,6.0,1.8,0.5991958509258093
Lisa Willis,2006,5,84.0,4.5,1.6,0.4,0.18781539996230304
Candice Dupree,2006,6,494.0,14.0,6.4,1.8,0.6703788064691516
Shona Thorburn,2006,7,24.0,0.8,0.8,0.8,0.093037829515733
Tamara James,2006,8,52.0,4.3,1.3,0.7,0.16970976970011623
La'Tangela Atkinson,2006,9,68.0,2.6,2.2,0.7,0.17972743392569912
Tye'sha Fluker,2006,10,78.0,2.4,1.6,0.3,0.14358267220776272
Barbara Turner,2006,11,97.0,6.3,2.6,1.4,0.291290892731389
Sherill Baker,2006,12,75.0,6.9,2.0,1.7,0.2812747071310976
Kim Smith,2006,13,55.0,1.9,1.0,0.5,0.12165939307163878
Scholanda Dorrell,2006,14,222.0,6.6,1.5,0.8,0.2984483148864688
Ann Strother,2006,15,41.0,2.0,0.7,0.3,0.09468296485388802
Shanna Zolman,2006,16,117.0,7.9,1.2,1.0,0.26691829292402824
Ambrosia Anderson,2006,17,4.0,0.0,1.0,0.0,0.036196695512151
Liz Moeggenberg,2006,18,50.0,1.9,1.5,0.5,0.13705576328622565
Nikki Blue,2006,19,111.0,2.7,1.3,1.6,0.20790383539790844
Jennifer Harris,2006,20,0.0,0.0,0.0,0.0,0.0
Mistie Bass,2006,21,285.0,4.6,3.1,0.7,0.3104942357274096
Willnett Crockett,2006,22,5.0,1.8,2.2,0.0,0.11161833510110793
Brooke Queenan,2006,23,12.0,0.3,0.3,0.2,0.041178668390377475
Renae Camino,2006,24,0.0,0.0,0.0,0.0,0.0
Dalila Eshe,2006,25,0.0,0.0,0.0,0.0,0.0
Kasha Terry,2006,26,41.0,3.1,2.4,0.3,0.15981082261529728
LaToya Bond,2006,27,66.0,4.0,1.2,1.5,0.2133798405850194
Debbie Merrill,2006,28,0.0,0.0,0.0,0.0,0.0
Tiffany Stansbury,2006,29,39.0,3.6,3.5,0.4,0.20220667371318268
Khara Smith,2006,30,0.0,0.0,0.0,0.0,0.0
Megan Duffy,2006,31,42.0,2.9,0.9,1.1,0.1610372882135066
Crystal Smith,2006,32,78.0,4.5,1.3,1.5,0.23716481159419223
Mariam Sy,2006,33,0.0,0.0,0.0,0.0,0.0
Kerri Gardin,2006,34,120.0,3.2,3.0,1.0,0.24743104219545495
Zane Tamane,2006,35,18.0,1.6,1.7,0.1,0.09715860087632207
Tiffany Porter-Talbert,2006,36,0.0,0.0,0.0,0.0,0.0
Christelle N'Garsanet,2006,37,15.0,1.8,1.2,0.3,0.09164561039108532
Jessica Foley,2006,38,0.0,0.0,0.0,0.0,0.0
Erin Grant,2006,39,17.0,1.5,1.1,2.2,0.1812257809811791
Marina Kuzina,2006,40,0.0,0.0,0.0,0.0,0.0
Lamisha Augustine,2006,41,0.0,0.0,0.0,0.0,0.0
Marita Payne,2006,42,0.0,0.0,0.0,0.0,0.0
Janel McCarville,2005,1,286.0,7.7,4.4,1.9,0.4446210051689815
Tan White,2005,2,320.0,8.1,2.4,1.8,0.42105035124725365
Sandora Irvin,2005,3,111.0,1.7,2.0,0.3,0.14585405636512236
Kendra Wecker,2005,4,58.0,3.7,1.8,1.0,0.19380792903286903
Sancho Lyttle,2005,5,392.0,8.9,6.6,1.5,0.540757727245994
Temeka Johnson,2005,6,327.0,8.0,2.7,4.2,0.5140087596564648
Kara Braxton,2005,7,297.0,7.6,4.7,0.9,0.39500623069098817
Katie Mattera,2005,8,150.0,6.7,4.7,0.3,0.3115040735020576
Kristin Haynie,2005,9,160.0,3.5,1.6,1.8,0.258121699711115
Loree Moore,2005,10,155.0,6.0,3.5,3.7,0.44712000543760455
Kristen Mann,2005,11,130.0,5.0,2.4,1.3,0.28563222999985677
Tanisha Wright,2005,12,457.0,7.3,2.6,3.1,0.5131074312228753
Dionnah Jackson,2005,13,0.0,0.0,0.0,0.0,0.0
Shyra Ely-Gash,2005,14,173.0,4.0,2.2,0.5,0.23173599213022275
Roneeka Hodges,2005,15,320.0,6.0,1.8,1.1,0.34557802848854935
Yolanda Paige,2005,16,13.0,1.2,0.7,1.0,0.0954762958727979
Jacqueline Batteast,2005,17,34.0,1.1,0.9,0.3,0.08748380932960935
Angelina Williams,2005,18,37.0,2.2,1.0,0.6,0.11625114469012199
Erica Taylor,2005,19,0.0,0.0,0.0,0.0,0.0
Nikita Bell,2005,20,0.0,0.0,0.0,0.0,0.0
Erin Phillips,2005,21,229.0,6.3,2.2,2.0,0.3618122777644931
Chelsea Newton,2005,22,144.0,5.1,1.8,1.6,0.296936582154566
Tabitha Pool,2005,23,0.0,0.0,0.0,0.0,0.0
Jessica Moore,2005,24,222.0,2.9,2.0,0.4,0.23414138300383525
Ashley Battle,2005,25,142.0,5.0,2.4,1.1,0.26757122644347414
DeeDee Wheeler,2005,26,0.0,0.0,0.0,0.0,0.0
Cathrine Kraayeveld,2005,27,275.0,7.0,3.7,1.1,0.40059053135315537
Jenni Dant,2005,28,0.0,0.0,0.0,0.0,0.0
Ashley Earley,2005,29,0.0,0.0,0.0,0.0,0.0
Anne O'Neil,2005,30,0.0,0.0,0.0,0.0,0.0
Jamie Carey,2005,31,105.0,3.1,0.9,1.1,0.18934282050294032
Tashia Morehead,2005,32,0.0,0.0,0.0,0.0,0.0
Jenni Lingor,2005,33,0.0,0.0,0.0,0.0,0.0
Megan Mahoney,2005,34,49.0,2.2,1.6,0.7,0.14776802311178597
Cisti Greenwalt,2005,35,5.0,0.4,1.6,0.0,0.06598379190690487
Rebecca Richman,2005,36,0.0,0.0,0.0,0.0,0.0
Monique Bivins,2005,37,0.0,0.0,0.0,0.0,0.0
Steffanie Blackmon,2005,38,0.0,0.0,0.0,0.0,0.0
Heather Schreiber,2005,39,0.0,0.0,0.0,0.0,0.0
Diana Taurasi,2004,1,503.0,19.3,3.9,4.3,0.752165277736039
Alana Beard,2004,2,420.0,11.3,3.4,2.5,0.5707554158953202
Nicole Powell,2004,3,360.0,9.5,4.1,1.6,0.4945608959166405
Lindsay Whalen,2004,4,480.0,11.5,3.8,4.9,0.6679659948139952
Shameka Christon,2004,5,317.0,9.6,2.7,1.2,0.430803988674689
Nicole Ohlde,2004,6,223.0,8.8,4.7,1.5,0.44041565779374725
Vanessa Hayden,2004,7,148.0,5.6,3.6,0.5,0.27033212222491193
Chandi Jones,2004,8,68.0,4.9,1.5,1.5,0.23655173519996567
Ebony Hoffman,2004,9,327.0,5.8,4.2,1.1,0.4042228720962697
Rebekkah Brunson,2004,10,453.0,9.2,7.4,1.1,0.576445988909327
Iciss Tillis,2004,11,67.0,2.6,1.5,0.4,0.14102039218477086
Christi Thomas,2004,12,170.0,4.6,3.7,0.6,0.285817347003304
Shereka Wright,2004,13,49.0,3.1,1.6,0.6,0.16743756818131117
Ashley Robinson,2004,14,292.0,1.9,2.5,0.5,0.2564741620677794
Kaayla Chones,2004,15,28.0,1.5,0.8,0.2,0.08601371778328379
Jessica Brungo,2004,16,49.0,1.1,0.9,0.6,0.10751082097442881
Amisha Carter,2004,17,5.0,0.2,1.2,0.0,0.05815555875535148
Kelly Mazzante,2004,18,200.0,4.7,1.6,0.9,0.2581938426134278
Trina Frierson,2004,19,5.0,1.4,1.0,0.0,0.0612856351921669
Tasha Butts,2004,20,30.0,2.5,2.1,0.8,0.1833429480850727
Cindy Dallas,2004,21,0.0,0.0,0.0,0.0,0.0
Jenni Benningfield,2004,22,10.0,0.9,0.6,0.4,0.06665256257255234
Erika Valek,2004,23,0.0,0.0,0.0,0.0,0.0
Ugo Oha,2004,24,0.0,0.0,0.0,0.0,0.0
Doneeka Lewis,2004,25,110.0,3.7,1.2,1.6,0.229203261259876
Lindsay Taylor,2004,26,5.0,0.6,0.6,0.4,0.06197275961688733
Maria Villarroel,2004,27,0.0,0.0,0.0,0.0,0.0
Evan Unrau,2004,28,0.0,0.0,0.0,0.0,0.0
Candace Futrell,2004,29,20.0,2.1,1.0,0.5,0.10464444439118278
Cathy Joens,2004,30,45.0,4.3,1.5,1.0,0.18853768260576792
Ieva Kublina,2004,31,0.0,0.0,0.0,0.0,0.0
Jennifer Smith,2004,32,2.0,0.0,0.0,0.0,0.020862565835238
Amber Jacobs,2004,33,139.0,4.4,1.3,2.1,0.2725140464793508
Toccara Williams,2004,34,26.0,2.1,1.5,1.7,0.2040015889998145
Jia Perkins,2004,35,417.0,10.6,2.9,2.0,0.5086503408243587
Nuria Martinez,2004,36,16.0,1.7,0.7,0.7,0.10444972431258828
Stacy Stephens,2004,37,7.0,0.6,1.3,0.4,0.0763717601989347
Kate Bulger,2004,38,0.0,0.0,0.0,0.0,0.0
LaToya Thomas,2003,1,150.0,9.3,3.6,1.1,0.3792591030250915
Chantelle Anderson,2003,2,124.0,4.1,2.0,0.3,0.20625879224337504
Cheryl Ford,2003,3,196.0,10.8,9.7,1.0,0.5659411225666673
Plenette Pierson,2003,4,444.0,9.6,4.1,1.5,0.5047666343962535
Kara Lawson,2003,5,377.0,9.8,2.6,2.5,0.49658089902507213
Gwen Jackson,2003,6,77.0,5.7,4.0,0.5,0.2936145652826279
Aiysha Smith,2003,7,60.0,3.7,2.2,0.4,0.19370093334687818
Jung Sun-Min,2003,8,17.0,1.8,0.6,0.1,0.07864071255235491
Jocelyn Penn,2003,9,31.0,2.9,1.7,0.5,0.14328515079796295
Molly Creamer,2003,10,0.0,0.0,0.0,0.0,0.0
Coretta Brown,2003,11,77.0,4.5,1.3,1.3,0.22614842693873372
Allison Curtin,2003,12,0.0,0.0,0.0,0.0,0.0
Courtney Coleman,2003,13,20.0,1.8,1.1,0.1,0.09103201469579005
Teresa Edwards,2003,14,68.0,5.5,2.9,3.3,0.368231245196081
Jennifer Butler,2003,15,0.0,0.0,0.0,0.0,0.0
Petra Ujhelyi,2003,16,14.0,0.3,0.9,0.2,0.06045327915886256
Erin Thorn,2003,17,283.0,4.8,1.3,1.5,0.3038937052782682
Jordan Adams,2003,18,10.0,3.3,2.3,0.4,0.1503519908681675
Lori Nero,2003,19,0.0,0.0,0.0,0.0,0.0
DeTrina White,2003,20,44.0,2.2,3.2,0.2,0.17507280877533996
Zuzana Zirkova,2003,21,6.0,1.8,0.3,0.2,0.06080445450925711
Suzy Batkovic-Brown,2003,22,49.0,5.0,2.5,0.6,0.20682960244706955
Dana Cherry,2003,23,0.0,0.0,0.0,0.0,0.0
Sonja Mallory,2003,24,6.0,1.7,1.7,0.0,0.09558653949505869
Ke-Ke Tardy,2003,25,0.0,0.0,0.0,0.0,0.0
K.B. Sharp,2003,26,178.0,2.4,0.9,1.2,0.21007261672612815
Schuye LaRue,2003,27,0.0,0.0,0.0,0.0,0.0
Syreeta Bromfield,2003,28,0.0,0.0,0.0,0.0,0.0
Carla Bennett,2003,29,0.0,0.0,0.0,0.0,0.0
Shaquala Williams,2003,30,25.0,2.0,1.3,0.8,0.13212409623945517
Telisha Quarles,2003,31,0.0,0.0,0.0,0.0,0.0
Trish Juhline,2003,32,0.0,0.0,0.0,0.0,0.0
Marion Jones,2003,33,47.0,2.6,1.3,0.5,0.13307251083787475
Lindsey Wilson,2003,34,0.0,0.0,0.0,0.0,0.0
Ashley McElhiney,2003,35,0.0,0.0,0.0,0.0,0.0
Tamara Bowie,2003,36,0.0,0.0,0.0,0.0,0.0
