player,year,overall_pick,games,points,total_rebounds,assists,successScore
Kylee Shook,2020,13,50.0,5.0,3.5,1.0,0.2667931425955872
Kathleen Doyle,2020,14,18.0,1.5,0.8,1.1,0.12021280896339456
Leaonna Odom,2020,15,40.0,4.4,1.8,0.6,0.20888934038378254
Crystal Dangerfield,2020,16,85.0,8.9,2.0,2.9,0.37883139867566545
Brittany Brewer,2020,17,5.0,0.8,1.0,0.0,0.06805442041668101
Te'a Cooper,2020,18,51.0,8.2,1.5,1.6,0.2933216217114799
Joyner Holmes,2020,19,50.0,2.4,1.8,0.6,0.14479456603361712
Beatrice Mompremier,2020,20,74.0,2.0,2.8,0.2,0.15799286142324995
Luisa Geiselsoder,2020,21,0.0,0.0,0.0,0.0,0.0
Leonie Fiebich,2020,22,0.0,0.0,0.0,0.0,0.0
Kaila Charles,2020,23,52.0,4.7,2.7,1.0,0.24589512662680274
Jaylyn Agnew,2020,24,12.0,1.3,0.4,0.3,0.06820575089367412
Mikayla Pivec,2020,25,0.0,0.0,0.0,0.0,0.0
Erica Ogwumike,2020,26,0.0,0.0,0.0,0.0,0.0
Kobi Thornton,2020,27,0.0,0.0,0.0,0.0,0.0
Kamiah Smalls,2020,28,10.0,3.1,1.3,2.0,0.1983602500290225
Stella Johnson,2020,29,15.0,3.9,1.0,0.9,0.14142104187035404
Japreece Dean,2020,30,0.0,0.0,0.0,0.0,0.0
Haley Gorecki,2020,31,3.0,0.0,0.7,0.0,0.026847574565948808
Kiah Gillespie,2020,32,0.0,0.0,0.0,0.0,0.0
Lauren Manis,2020,33,0.0,0.0,0.0,0.0,0.0
Tynice Martin,2020,34,0.0,0.0,0.0,0.0,0.0
Juicy Landrum,2020,35,0.0,0.0,0.0,0.0,0.0
Sug Sutton,2020,36,12.0,2.8,0.7,1.0,0.13049155687136407
Jackie Young,2019,1,122.0,11.5,4.0,3.7,0.5133884529935125
AD Durr,2019,2,43.0,8.1,1.4,1.4,0.2791708814554884
Teaira McCowan,2019,3,121.0,10.8,8.3,0.7,0.46668184562180953
Katie Lou Samuelson,2019,4,101.0,6.5,2.6,1.4,0.31423718821271385
Arike Ogunbowale,2019,5,117.0,19.8,2.9,3.4,0.5826471049334154
Napheesa Collier,2019,6,89.0,14.6,7.0,2.9,0.5977751550513152
Kalani Brown,2019,7,39.0,4.5,2.8,0.4,0.19275337236879517
Alanna Smith,2019,8,64.0,3.0,2.4,0.7,0.18175969192479463
Kristine Anigwe,2019,9,64.0,3.0,2.5,0.3,0.16995018950187105
Kiara Leslie,2019,10,28.0,4.6,2.8,0.8,0.23953067966185326
Brianna Turner,2019,11,118.0,5.7,7.3,1.6,0.4522368030080868
Ezi Magbegor,2019,12,85.0,7.8,4.2,0.9,0.32519652165384055
Sophie Cunningham,2019,13,111.0,6.5,2.3,1.1,0.29325020398699075
Han Xu,2019,14,50.0,6.5,2.6,0.6,0.23090999799592807
Chloe Jackson,2019,15,8.0,0.6,0.8,0.5,0.06320275154590396
Jessica Shepard,2019,16,64.0,5.7,5.8,2.6,0.39123197080409494
Megan Gustafson,2019,17,79.0,3.2,2.3,0.3,0.16667135635477934
Natisha Hiedeman,2019,18,110.0,7.1,1.8,2.3,0.327281736685351
Marina Mabrey,2019,19,116.0,10.4,3.0,2.5,0.40278805922195426
Cierra Dillard,2019,20,0.0,0.0,0.0,0.0,0.0
Bridget Carleton,2019,21,98.0,4.7,2.4,1.4,0.2792833362555541
Kennedy Burke,2019,22,92.0,4.9,1.5,0.7,0.20848142662881236
Maite Cazorla,2019,23,31.0,3.0,0.7,1.6,0.19177767510570848
Anriel Howard,2019,24,3.0,1.7,1.0,0.0,0.07680812919423954
Paris Kea,2019,25,22.0,4.8,1.2,1.0,0.16845929887226857
Megan Huff,2019,26,7.0,0.0,0.6,0.1,0.030945478242790887
Maria Conde,2019,27,0.0,0.0,0.0,0.0,0.0
Caliya Robinson,2019,28,0.0,0.0,0.0,0.0,0.0
